onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0401	6	active_change	correct	2.3812999999999995	right
20.0565	6	active_change	incorrect	1.4655999999999985	left
26.0647	6	active_nochange	incorrect	1.3942000000000014	right
36.0811	6	passive	n/a	1.9474000000000018	right
42.0893	6	active_change	correct	1.737099999999998	right
52.1057	6	active_nochange	correct	2.0763000000000034	left
60.1221	6	active_change	correct	1.6906999999999925	right
66.1303	6	active_nochange	incorrect	1.9181999999999988	right
72.1385	6	active_change	correct	1.6239000000000061	right
78.1467	6	active_change	correct	1.7944999999999993	right
86.1631	6	active_nochange	incorrect	1.3408000000000015	right
92.1713	6	active_nochange	incorrect	1.3305000000000007	right
100.1878	6	active_nochange	incorrect	1.7357000000000085	right
106.1959	6	passive	miss	n/a	right
112.2041	6	active_change	incorrect	1.671999999999997	left
118.2123	6	active_nochange	incorrect	1.5976	right
126.2287	6	passive	n/a	1.542900000000003	right
134.2452	6	active_nochange	incorrect	1.4461999999999762	right
140.2534	6	active_nochange	incorrect	1.241800000000012	right
150.2698	6	active_nochange	incorrect	1.5661000000000058	right
156.278	6	passive	n/a	1.4296999999999969	right
162.2861	6	passive	n/a	1.4713999999999885	right
172.3025	6	active_change	incorrect	1.4847000000000037	left
180.319	6	active_change	incorrect	1.8348000000000013	left
188.3355	6	active_nochange	incorrect	1.292100000000005	right
194.3436	6	active_change	incorrect	1.838799999999992	left
204.36	6	passive	n/a	1.3200999999999965	right
210.3682	6	active_nochange	incorrect	1.4677000000000078	right
216.3764	6	active_change	incorrect	1.3973000000000013	left
222.3846	6	active_change	incorrect	1.498899999999992	left
228.3927	6	active_nochange	incorrect	1.5526000000000124	right
238.4092	6	active_change	incorrect	1.8087999999999909	left
244.4173	6	active_change	correct	1.4834999999999923	right
252.43380000000002	6	active_change	correct	1.286799999999971	right
258.442	6	active_change	correct	1.6632999999999925	right
264.4501	6	active_nochange	incorrect	1.3710999999999558	right
272.4666	6	passive	n/a	1.272299999999973	right
280.4831	6	passive	n/a	1.4186000000000263	right
296.4993	6	active_nochange	incorrect	1.501800000000003	right
302.5075	6	active_nochange	incorrect	1.2133999999999787	right
