num	short	category	num_in_cat	long	unit	dtype	description	value	accepted_ranges	flag
1143	T2_FLAIR_align_to_T1	tvb_IDP_all_align_to_T1	1	QC_T2_FLAIR-to-T1_linear_alignment_discrepancy	AU	float	Discrepancy between the T2_FLAIR brain image (linearly-aligned to the T1) and the T1 brain image	nan		N/A
1144	dMRI_align_to_T1	tvb_IDP_all_align_to_T1	2	QC_dMRI-to-T1_linear_alignment_discrepancy	AU	float	Discrepancy between the dMRI brain image (linearly-aligned to the T1) and the T1 brain image	9.469400e-01		N/A
1145	SWI_align_to_T1	tvb_IDP_all_align_to_T1	3	QC_SWI-to-T1_linear_alignment_discrepancy	AU	float	Discrepancy between the SWI brain image (linearly-aligned to the T1) and the T1 brain image	nan		N/A
1146	rfMRI.ica_align_to_T1	tvb_IDP_all_align_to_T1	4	QC_rfMRI.ica-to-T1_linear_alignment_discrepancy	AU	float	Discrepancy between the rfMRI.ica brain image (linearly-aligned to the T1) and the T1 brain image	9.792170e-01		N/A
1147	rfMRI.ica_fieldmap_align_to_T1	tvb_IDP_all_align_to_T1	5	QC_rfMRI.ica-fieldmap-to-T1_linear_alignment_discrepancy	AU	float	Discrepancy between the rfMRI.ica field map brain image (linearly-aligned to the T1) and the T1 brain image	nan		N/A
1148	tfMRI.feat_align_to_T1	tvb_IDP_all_align_to_T1	6	QC_tfMRI.feat-to-T1_linear_alignment_discrepancy	AU	float	Discrepancy between the tfMRI.feat brain image (linearly-aligned to the T1) and the T1 brain image	9.789420e-01		N/A
1149	tfMRI.feat_fieldmap_align_to_T1	tvb_IDP_all_align_to_T1	7	QC_tfMRI.feat-fieldmap-to-T1_linear_alignment_discrepancy	AU	float	Discrepancy between the tfMRI.feat field map brain image (linearly-aligned to the T1) and the T1 brain image	nan		N/A
1150	rfMRI.ica_fieldmap_align_to_func	tvb_IDP_fieldmap_align_to_func	1	QC_rfMRI.ica-fieldmap-to-func_linear_alignment_discrepancy	AU	float	Discrepancy between the rfMRI.ica field map brain image and the rfMRI.ica func image	nan		N/A
1151	tfMRI.feat_fieldmap_align_to_func	tvb_IDP_fieldmap_align_to_func	2	QC_tfMRI.feat-fieldmap-to-func_linear_alignment_discrepancy	AU	float	Discrepancy between the tfMRI.feat field map brain image and the tfMRI.feat func image	nan		N/A
1152	tSNR_rfMRI.ica	tvb_IDP_func_tSNR	1	QC_tSNR_rfMRI.ica	ratio	float	Temporal signal-to-noise ratio in the pre-processed rfMRI.ica - reciprocal of median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	1.756225e+02		N/A
1153	cleaned_tSNR_rfMRI.ica	tvb_IDP_func_tSNR	2	QC_cleaned_tSNR_rfMRI.ica	ratio	float	Temporal signal-to-noise ratio in the artefact-cleaned pre-processed rfMRI.ica - reciprocal of median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	2.297644e+02		N/A
1154	num_vol_rfMRI.ica	tvb_IDP_func_tSNR	3	QC_num_vol_rfMRI.ica	volumes	int	Number of volumes in rfMRI.ica scan	2.400000e+02		N/A
1155	tSNR_tfMRI.feat	tvb_IDP_func_tSNR	4	QC_tSNR_tfMRI.feat	ratio	float	Temporal signal-to-noise ratio in the pre-processed tfMRI.feat - reciprocal of median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	1.869074e+02		N/A
1156	num_vol_tfMRI.feat	tvb_IDP_func_tSNR	5	QC_num_vol_tfMRI.feat	volumes	int	Number of volumes in tfMRI.feat scan	1.600000e+02		N/A
1157	non-susceptible_tSNR_rfMRI.ica	tvb_IDP_func_susceptibility_SNR	1	QC_non-susceptible_tSNR_rfMRI.ica	ratio	float	Temporal signal-to-noise ratio in the pre-processed rfMRI.ica non-susceptible regions - median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	2.087887e+02		N/A
1158	non-susceptible_cleaned_tSNR_rfMRI.ica	tvb_IDP_func_susceptibility_SNR	2	QC_non-susceptible_cleaned_tSNR_rfMRI.ica	ratio	float	Temporal signal-to-noise ratio in the artefact-cleaned pre-processed rfMRI.ica non-susceptible regions - median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	2.603520e+02		N/A
1159	non-susceptible_tSNR_tfMRI.feat	tvb_IDP_func_susceptibility_SNR	3	QC_non-susceptible_tSNR_tfMRI.feat	ratio	float	Temporal signal-to-noise ratio in the pre-processed tfMRI.feat non-susceptible regions - median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	2.232256e+02		N/A
1160	susceptible_tSNR_rfMRI.ica	tvb_IDP_func_susceptibility_SNR	4	QC_susceptible_tSNR_rfMRI.ica	ratio	float	Temporal signal-to-noise ratio in the pre-processed rfMRI.ica susceptible regions - median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	1.244725e+02		N/A
1161	susceptible_cleaned_tSNR_rfMRI.ica	tvb_IDP_func_susceptibility_SNR	5	QC_susceptible_cleaned_tSNR_rfMRI.ica	ratio	float	Temporal signal-to-noise ratio in the artefact-cleaned pre-processed rfMRI.ica susceptible regions - median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	1.819167e+02		N/A
1162	susceptible_tSNR_tfMRI.feat	tvb_IDP_func_susceptibility_SNR	6	QC_susceptible_tSNR_tfMRI.feat	ratio	float	Temporal signal-to-noise ratio in the pre-processed tfMRI.feat susceptible regions - median (across brain voxels) of voxelwise mean intensity divided by voxelwise timeseries standard deviation	1.290785e+02		N/A
1163	MCFLIRT_rel_disp_min_rfMRI.ica	tvb_IDP_MCFLIRT_disp	1	MCFLIRT_relative_displacement_minimum_rfMRI.ica	mm	float	MCFLIRT relative displacement minimum for rfMRI.ica	1.675970e-02		N/A
1164	MCFLIRT_rel_disp_max_rfMRI.ica	tvb_IDP_MCFLIRT_disp	2	MCFLIRT_relative_displacement_maximum_rfMRI.ica	mm	float	MCFLIRT relative displacement maximum for rfMRI.ica	2.186040e-01		N/A
1165	MCFLIRT_rel_disp_median_rfMRI.ica	tvb_IDP_MCFLIRT_disp	3	MCFLIRT_relative_displacement_median_rfMRI.ica	mm	float	MCFLIRT relative displacement median for rfMRI.ica	8.663340e-02		N/A
1166	MCFLIRT_rel_disp_mean_rfMRI.ica	tvb_IDP_MCFLIRT_disp	4	MCFLIRT_relative_displacement_mean_rfMRI.ica	mm	float	MCFLIRT relative displacement mean for rfMRI.ica	8.910112e-02		N/A
1167	MCFLIRT_rel_disp_range_rfMRI.ica	tvb_IDP_MCFLIRT_disp	5	MCFLIRT_relative_displacement_range_rfMRI.ica	mm	float	MCFLIRT relative displacement range for rfMRI.ica	2.018443e-01		N/A
1168	MCFLIRT_rel_disp_proportion_gt_one_rfMRI.ica	tvb_IDP_MCFLIRT_disp	6	MCFLIRT_relative_displacement_proportion_greaterthan_one_rfMRI.ica	proportion out of 1	float	MCFLIRT relative displacement - proportion of time units with displacement greater than 1mm for rfMRI.ica	0.000000e+00		N/A
1169	MCFLIRT_rel_disp_num_gt_one_rfMRI.ica	tvb_IDP_MCFLIRT_disp	7	MCFLIRT_relative_displacement_number_greaterthan_one_rfMRI.ica	time (seconds?)	float	MCFLIRT relative displacement - number of time units with displacement greater than 1mm for rfMRI.ica	0.000000e+00		N/A
1170	MCFLIRT_abs_disp_min_rfMRI.ica	tvb_IDP_MCFLIRT_disp	8	MCFLIRT_absolute_displacement_minimum_rfMRI.ica	mm	float	MCFLIRT absolute displacement minimum for rfMRI.ica	5.019500e-02		N/A
1171	MCFLIRT_abs_disp_max_rfMRI.ica	tvb_IDP_MCFLIRT_disp	9	MCFLIRT_absolute_displacement_maximum_rfMRI.ica	mm	float	MCFLIRT absolute displacement maximum for rfMRI.ica	4.137100e-01		N/A
1172	MCFLIRT_abs_disp_median_rfMRI.ica	tvb_IDP_MCFLIRT_disp	10	MCFLIRT_absolute_displacement_median_rfMRI.ica	mm	float	MCFLIRT absolute displacement median for rfMRI.ica	2.731305e-01		N/A
1173	MCFLIRT_abs_disp_mean_rfMRI.ica	tvb_IDP_MCFLIRT_disp	11	MCFLIRT_absolute_displacement_mean_rfMRI.ica	mm	float	MCFLIRT absolute displacement mean for rfMRI.ica	2.583724e-01		N/A
1174	MCFLIRT_abs_disp_range_rfMRI.ica	tvb_IDP_MCFLIRT_disp	12	MCFLIRT_absolute_displacement_range_rfMRI.ica	mm	float	MCFLIRT absolute displacement range for rfMRI.ica	3.635150e-01		N/A
1175	MCFLIRT_abs_disp_proportion_gt_one_rfMRI.ica	tvb_IDP_MCFLIRT_disp	13	MCFLIRT_absolute_displacement_proportion_greaterthan_one_rfMRI.ica	proportion out of 1	float	MCFLIRT absolute displacement - proportion of time units with displacement greater than 1mm for rfMRI.ica	0.000000e+00		N/A
1176	MCFLIRT_abs_disp_num_gt_one_rfMRI.ica	tvb_IDP_MCFLIRT_disp	14	MCFLIRT_absolute_displacement_number_greaterthan_one_rfMRI.ica	time (seconds?)	float	MCFLIRT absolute displacement - number of time units with displacement greater than 1mm for rfMRI.ica	0.000000e+00		N/A
1177	MCFLIRT_rel_disp_min_tfMRI.feat	tvb_IDP_MCFLIRT_disp	15	MCFLIRT_relative_displacement_minimum_tfMRI.feat	mm	float	MCFLIRT relative displacement minimum for tfMRI.feat	8.583960e-03		N/A
1178	MCFLIRT_rel_disp_max_tfMRI.feat	tvb_IDP_MCFLIRT_disp	16	MCFLIRT_relative_displacement_maximum_tfMRI.feat	mm	float	MCFLIRT relative displacement maximum for tfMRI.feat	1.482740e-01		N/A
1179	MCFLIRT_rel_disp_median_tfMRI.feat	tvb_IDP_MCFLIRT_disp	17	MCFLIRT_relative_displacement_median_tfMRI.feat	mm	float	MCFLIRT relative displacement median for tfMRI.feat	6.282640e-02		N/A
1180	MCFLIRT_rel_disp_mean_tfMRI.feat	tvb_IDP_MCFLIRT_disp	18	MCFLIRT_relative_displacement_mean_tfMRI.feat	mm	float	MCFLIRT relative displacement mean for tfMRI.feat	6.623301e-02		N/A
1181	MCFLIRT_rel_disp_range_tfMRI.feat	tvb_IDP_MCFLIRT_disp	19	MCFLIRT_relative_displacement_range_tfMRI.feat	mm	float	MCFLIRT relative displacement range for tfMRI.feat	1.396900e-01		N/A
1182	MCFLIRT_rel_disp_proportion_gt_one_tfMRI.feat	tvb_IDP_MCFLIRT_disp	20	MCFLIRT_relative_displacement_proportion_greaterthan_one_tfMRI.feat	proportion out of 1	float	MCFLIRT relative displacement - proportion of time units with displacement greater than 1mm for tfMRI.feat	0.000000e+00		N/A
1183	MCFLIRT_rel_disp_num_gt_one_tfMRI.feat	tvb_IDP_MCFLIRT_disp	21	MCFLIRT_relative_displacement_number_greaterthan_one_tfMRI.feat	time (seconds?)	float	MCFLIRT relative displacement - number of time units with displacement greater than 1mm for tfMRI.feat	0.000000e+00		N/A
1184	MCFLIRT_abs_disp_min_tfMRI.feat	tvb_IDP_MCFLIRT_disp	22	MCFLIRT_absolute_displacement_minimum_tfMRI.feat	mm	float	MCFLIRT absolute displacement minimum for tfMRI.feat	1.004440e-03		N/A
1185	MCFLIRT_abs_disp_max_tfMRI.feat	tvb_IDP_MCFLIRT_disp	23	MCFLIRT_absolute_displacement_maximum_tfMRI.feat	mm	float	MCFLIRT absolute displacement maximum for tfMRI.feat	3.994600e-01		N/A
1186	MCFLIRT_abs_disp_median_tfMRI.feat	tvb_IDP_MCFLIRT_disp	24	MCFLIRT_absolute_displacement_median_tfMRI.feat	mm	float	MCFLIRT absolute displacement median for tfMRI.feat	2.456850e-01		N/A
1187	MCFLIRT_abs_disp_mean_tfMRI.feat	tvb_IDP_MCFLIRT_disp	25	MCFLIRT_absolute_displacement_mean_tfMRI.feat	mm	float	MCFLIRT absolute displacement mean for tfMRI.feat	2.360163e-01		N/A
1188	MCFLIRT_abs_disp_range_tfMRI.feat	tvb_IDP_MCFLIRT_disp	26	MCFLIRT_absolute_displacement_range_tfMRI.feat	mm	float	MCFLIRT absolute displacement range for tfMRI.feat	3.984556e-01		N/A
1189	MCFLIRT_abs_disp_proportion_gt_one_tfMRI.feat	tvb_IDP_MCFLIRT_disp	27	MCFLIRT_absolute_displacement_proportion_greaterthan_one_tfMRI.feat	proportion out of 1	float	MCFLIRT absolute displacement - proportion of time units with displacement greater than 1mm for tfMRI.feat	0.000000e+00		N/A
1190	MCFLIRT_abs_disp_num_gt_one_tfMRI.feat	tvb_IDP_MCFLIRT_disp	28	MCFLIRT_absolute_displacement_number_greaterthan_one_tfMRI.feat	time (seconds?)	float	MCFLIRT absolute displacement - number of time units with displacement greater than 1mm for tfMRI.feat	0.000000e+00		N/A
1191	FIX_prop_IC_unknown_rfMRI.ica	tvb_IDP_FIX_classes	1	FIX_proportion_IC_unknown_rfMRI.ica	proportion out of 1	float	Proportion of MELODIC ICs that are classified as unknown by FIX for rfMRI.ica	8.000000e-02		N/A
1192	FIX_prop_IC_signal_rfMRI.ica	tvb_IDP_FIX_classes	2	FIX_proportion_IC_signal_rfMRI.ica	proportion out of 1	float	Proportion of MELODIC ICs that are classified as signal by FIX for rfMRI.ica	4.400000e-01		N/A
1193	FIX_prop_IC_noise_rfMRI.ica	tvb_IDP_FIX_classes	3	FIX_proportion_IC_noise_rfMRI.ica	proportion out of 1	float	Proportion of MELODIC ICs that are classified as noise by FIX for rfMRI.ica	4.800000e-01		N/A
1194	FD_rfMRI.ica	tvb_IDP_rfMRI_FD_DVARS	1	QC_FD_rfMRI.ica	mm	float	Mean framewise displacement (FD) in the artefact-cleaned pre-processed rfMRI.ica func image	1.520936e-02		N/A
1195	DVARS_rfMRI.ica	tvb_IDP_rfMRI_FD_DVARS	2	QC_DVARS_rfMRI.ica	AU	float	Mean derivative of root mean square variance over voxels (DVARS) in the artefact-cleaned pre-processed rfMRI.ica func image	5.685013e+00		N/A
1196	FC_distribution_min_rfMRI.ica	tvb_IDP_FC_distribution	1	FC_distribution_min_rfMRI.ica	pearson correlation coefficient	float	Functional connectivity minimum for rfMRI.ica	-5.214883e-01		N/A
1197	FC_distribution_max_rfMRI.ica	tvb_IDP_FC_distribution	2	FC_distribution_max_rfMRI.ica	pearson correlation coefficient	float	Functional connectivity maximum for rfMRI.ica	9.611005e-01		N/A
1198	FC_distribution_median_rfMRI.ica	tvb_IDP_FC_distribution	3	FC_distribution_median_rfMRI.ica	pearson correlation coefficient	float	Functional connectivity median for rfMRI.ica	2.377023e-01		N/A
1199	FC_distribution_mean_rfMRI.ica	tvb_IDP_FC_distribution	4	FC_distribution_mean_rfMRI.ica	pearson correlation coefficient	float	Functional connectivity mean for rfMRI.ica	2.420386e-01		N/A
1200	FC_distribution_mean_to_max_rfMRI.ica	tvb_IDP_FC_distribution	5	FC_distribution_mean_to_max_rfMRI.ica	pearson correlation coefficient	float	Functional connectivity distance from mean to max for rfMRI.ica	7.190619e-01		N/A
1201	FC_distribution_median_to_max_rfMRI.ica	tvb_IDP_FC_distribution	6	FC_distribution_median_to_max_rfMRI.ica	pearson correlation coefficient	float	Functional connectivity distance from median to max for rfMRI.ica	7.233981e-01		N/A
1202	FC_distribution_range_rfMRI.ica	tvb_IDP_FC_distribution	7	FC_distribution_range_rfMRI.ica	pearson correlation coefficient	float	Functional connectivity range for rfMRI.ica	1.482589e+00		N/A
1203	FC_distribution_proportion_neg_rfMRI.ica	tvb_IDP_FC_distribution	8	FC_distribution_proportion_neg_rfMRI.ica	proportion of non-nan and non-inf connections	float	Functional connectivity - proportion of non-nan and non-inf connections with 0 value for rfMRI.ica	1.042618e-01		N/A
1204	FC_distribution_proportion_zero_rfMRI.ica	tvb_IDP_FC_distribution	9	FC_distribution_proportion_zeroes_rfMRI.ica	proportion of non-nan and non-inf connections	float	Functional connectivity - proportion of non-nan and non-inf connections with 0 value for rfMRI.ica	0.000000e+00		N/A
1205	FC_norm_MSE_rfMRI.ica	tvb_IDP_FC_distribution	10	FC_norm_Mean_Squared_Error_rfMRI.ica	pearson correlation coefficient 2	float	Functional connectivity - mean squared error for norm distribution fit for rfMRI.ica	7.698714e-04		N/A
1206	FC_homotopic_mean_rfMRI.ica	tvb_IDP_homotopic	1	FC_homotopic_mean_rfMRI.ica	pearson correlation coefficient	float	Functional connectivity homotopic mean for rfMRI.ica	5.466790e-01		N/A
1207	eddy_num_outliers	tvb_IDP_diff_eddy_outliers	1	eddy_number_of_outlier_slices	number of slices	int	Number of diffusion slices that have been classified as outliers by eddy	2.000000e+00		N/A
1208	eddy_percent_outliers	tvb_IDP_diff_eddy_outliers	2	eddy_percent_slice_outliers	%	float	Percent of diffusion slices that have been classified as outliers by eddy	1.041667e-01		N/A
1209	SC_distribution_min	tvb_IDP_SC_distribution	1	SC_distribution_min	pearson correlation coefficient (log 10)	float	Structural connectivity minimum	-5.421943e+00		N/A
1210	SC_distribution_max	tvb_IDP_SC_distribution	2	SC_distribution_max	pearson correlation coefficient (log 10)	float	Structural connectivity maximum	-1.997050e-01		N/A
1211	SC_distribution_median	tvb_IDP_SC_distribution	3	SC_distribution_median	pearson correlation coefficient (log 10)	float	Structural connectivity median	-3.634479e+00		N/A
1212	SC_distribution_mean	tvb_IDP_SC_distribution	4	SC_distribution_mean	pearson correlation coefficient (log 10)	float	Structural connectivity mean	-3.409025e+00		N/A
1213	SC_distribution_mean_to_max	tvb_IDP_SC_distribution	5	SC_distribution_mean_to_max	pearson correlation coefficient (log 10)	float	Structural connectivity distance from mean to max	3.209320e+00		N/A
1214	SC_distribution_median_to_max	tvb_IDP_SC_distribution	6	SC_distribution_median_to_max	pearson correlation coefficient (log 10)	float	Structural connectivity distance from median to max	3.434774e+00		N/A
1215	SC_distribution_range	tvb_IDP_SC_distribution	7	SC_distribution_range	pearson correlation coefficient (log 10)	float	Structural connectivity range	5.222238e+00		N/A
1216	SC_distribution_proportion_neg	tvb_IDP_SC_distribution	8	SC_distribution_proportion_neg	proportion of non-nan and non-inf connections	float	Structural connectivity - proportion of non-nan and non-inf  connections with negative value	1.000000e+00		N/A
1217	SC_nan_lines	tvb_IDP_SC_distribution	9	SC_nan_lines	line number	float	Structural connectivity - line numbers of rows with all NaNs	nan		N/A
1218	SC_num_nan	tvb_IDP_SC_distribution	10	SC_number_of_nan_lines	number of lines	float	Structural connectivity - number of all NaN rows	0.000000e+00		N/A
1219	SC_distribution_proportion_zero	tvb_IDP_SC_distribution	11	SC_distribution_proportion_zeroes	proportion of non-nan and non-inf connections	float	Structural connectivity - proportion of non-nan and non-inf connections with 0 value	0.000000e+00		N/A
1220	SC_lognorm_MSE	tvb_IDP_SC_distribution	12	SC_lognorm_Mean_Squared_Error	pearon correlation coefficient 2 (log 10)	float	Structural connectivity - mean squared error for lognorm distribution fit	1.957192e-02		N/A
